CDRCode,statute,CDRDescription,classification,class,CDRStatus,RangeOfPunishment,max_time_days,min_time_days,conjunct,max_fine,min_fine,mandatory_incarceration,mandatory_fine,drug_type,drug_crime_category,other_punish,statutory_requires_gps,statutory_most_serious,statutory_nonviolent,statutory_serious,statutory_violent,statutory_unlisted
2066,56-01-2070(B),TRAFFIC / DRIVING COMMERCIAL MOTOR VEHICLE WITHOUT PROPER LICENSE OR PERMIT - 1ST OFFENSE,M,U,Active,NMT 30 DAYS OR $150 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2069,56-01-2010,"TRAFFIC / COMMERCIAL DRIVER LICENSE ACT VIOLATION, NO OTHER PENALTY PRESCRIBED",M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2070,56-03-0390,TRAFFIC / OPERATING OR PERMITTING OPERATION OF VEHICLE WITH FRAUDULENTLY OBTAINED REGISTRATION AND LICENSE,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2071,56-03-0390,TRAFFIC / FRAUDULENT APPLICATION OR MISREPRESENTATION OF FACTS IN REGISTERING MOTOR VEHICLE,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2072,56-03-0670(C),TRAFFIC / USE OF FARM LICENSE PLATE UNLAWFULLY,M,U,Active,NMT 30 DAYS OR NMT $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2073,56-03-0840,TRAFFIC / OPERATING VEHICLE ON HIGHWAY WITHOUT REGISTRATION AND LICENSE DUE TO DELINQUENCY,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2074,56-03-1110,TRAFFIC / FREE VEHICULAR REGISTRATION FOR DISABLED VETERANS ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2075,56-03-1240,TRAFFIC / OPERATING VEHICLE WITH MISSING OR INCORRECTLY DISPLAYED LICENSE PLATE,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2076,56-03-1250,TRAFFIC / FAILURE TO POSSESS REGISTRATION CARD,M,U,Active,FINE $10,0,0,NONE,10,10,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2077,56-03-1410,"TRAFFIC / FRAUDULENT ALTERATION OF REGISTRATION, LICENSING DOC. OTHER THAN REGISTRATION CARD OR LICENSE PLATE",M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2078,56-03-1510,TRAFFIC / AMATEUR RADIO OPERATORS SPECIAL LICENSE PLATE ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2079,56-03-1610,TRAFFIC / EMERGENCY MEDICAL TECHNICIANS SPECIAL LICENSE PLATE ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2080,56-03-1760,TRAFFIC / UNITED STATES MILITARY RESERVE SPECIAL LICENSE PLATE ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2081,56-03-1810,TRAFFIC / NATIONAL GUARD SPECIAL LICENSE PLATE ARTICLE VIOLATION,M,U,Active,30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2082,56-03-1850,TRAFFIC / MEDAL OF HONOR RECIPIENTS SPECIAL LICENSE PLATE ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2083,56-03-1970,TRAFFIC / PARKING IN HANDICAPPED PARKING SPACE,M,U,Active,"NMT 30 DAYS OR $500 - $1,000",30,0,OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2084,56-03-1974,"TRAFFIC / UNINTENTIONAL FAILURE TO ACCOUNT FOR, FORWARD TICKET ISSUED FOR PARKING IN HANDICAPPED SPACE",M,U,Active,FINE $100,0,0,NONE,100,100,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2085,56-03-1974,TRAFFIC / FAILURE TO ACCOUNT FOR OR FORWARD TICKET ISSUED FOR PARKING IN HANDICAPPED SPACE,M,U,Active,"NMT 6 MONTHS &/OR $250 - $1,500",180,0,AND/OR,1500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2086,56-03-2060,TRAFFIC / MEMBERS OF FOREIGN CONSULATES SPECIAL ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2087,56-03-2150,TRAFFIC / MEMBERS OF MUNICIPAL AND COUNTY COUNCILS SPECIAL LICENSE PLATE ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2088,56-03-2250(F),TRAFFIC / DISPLAY OF SAMPLE LICENSE PLATE,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2089,56-03-2490,TRAFFIC / CONCEALING VEHICLE FROM WHICH SERIAL NUMBER HAS BEEN REMOVED,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2090,56-03-2520,"TRAFFIC / MOTOR VEHICLE REGISTRATION AND LICENSING CHAPTER VIOLATION, NO OTHER PENALTY SPECIFIED",M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2091,56-03-2600,TRAFFIC / TEMPORARY LICENSE PLATE FOR VEHICLE TO BE REGISTERED IN ANOTHER STATE ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS OR NMT $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2092,56-03-2710,TRAFFIC / TEMPORARY LICENSE PLATE FOR VEHICLE TO BE USED FOR CORPORATE RESEARCH ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS &/OR NMT $200,30,0,AND/OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2093,56-03-2810,TRAFFIC / VOLUNTEER FIREMEN SPECIAL LICENCE PLATE ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2094,56-03-3310,TRAFFIC / PURPLE HEARTS RECIPIENTS SPECIAL LICENSE PLATE VIOLATION,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2095,56-03-3710,TRAFFIC / COLLEGE AND UNIVERSITY SPECIAL LICENSE PLATE VIOLATION,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2096,56-03-4310,TRAFFIC / RETIRED MEMBERS OF THE US ARMED FORCES SPECIAL LICENSE PLATE VIOLATION,M,U,Active,NMT 30 DAYS OR NMT $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2097,56-03-4710,TRAFFIC / SC STATE GUARD SPECIAL LICENSE PLATE ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2098,56-03-4910,TRAFFIC / SC FIREFIGHTERS SPECIAL LICENSE PLATE ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2099,56-05-1230,TRAFFIC / FAILURE TO GIVE INFORMATION AND RENDER AID,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2100,56-05-1520(G)(1),"TRAFFIC / SPEEDING, 10 MPH OR LESS OVER THE SPEED LIMIT",M,U,Active,FINE $15 - $25,0,0,NONE,25,15,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2101,56-05-1520(G)(2),"TRAFFIC / SPEEDING, MORE THAN 10 BUT LESS THAN 15 MPH OVER THE SPEED LIMIT",M,U,Active,FINE $25 - $50,0,0,NONE,50,25,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2102,56-05-1520(G)(3),"TRAFFIC / SPEEDING, MORE THAN 15 BUT LESS THAN 25 MPH OVER THE SPEED LIMIT",M,U,Active,FINE $50 - $75,0,0,NONE,75,50,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2103,56-05-1520(G)(4),"TRAFFIC / SPEEDING, MORE THAN 25 MPH OVER THE SPEED LIMIT",M,U,Active,NMT 30 DAYS OR $75 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2104,56-05-1555,TRAFFIC / SPEEDING ON A MOPED,M,U,Active,NMT 30 DAYS OR NMT $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2105,56-05-2735,"TRAFFIC / ENTERING INTERSECTION, CROSSWALK OR RAILROAD GRADING WITHOUT ENOUGH SPACE",M,U,Active,NMT 30 DAYS OR $100 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2107,56-05-2970,TRAFFIC / CLERK OF COURT OR OTHER OFFICIAL FAILING TO REPORT CONVICTION FOR DUI,M,U,Active,FINE $25,0,0,NONE,25,25,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2108,56-05-3170(B),TRAFFIC / PEDESTRIAN ON CONTROLLED ACCESS HIGHWAY,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2109,56-05-3190,"BLIND / PERSON NOT BLIND OR INCAPACITATED RAISING, EXTENDING CERTAIN TYPES OF WALKING CANE",M,U,Active,NMT 10 DAYS OR NMT $25,10,0,OR,25,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2110,56-05-3200,TRAFFIC / FAILING TO STOP VEHICLE FOR BLIND PERSON ATTEMPTING TO CROSS PUBLIC ROAD,M,U,Active,NMT 10 DAYS OR NMT $25,10,0,OR,25,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2111,56-05-3410,TRAFFIC / BICYCLISTS AND USERS OF PLAY VEHICLES ARTICLE VIOLATION,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2112,56-05-3660,"MOTORCYCLE / MOTORCYCLE HELMET VIOLATION, MUST BE WORN IF UNDER 21 Y OF AGE",M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2113,56-05-3670,MOTORCYCLE / MOTORCYCLE GOGGLE OR FACE SHIELD VIOLATION,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2114,56-05-3680,MOTORCYCLE / MOTORCYCLE WINDSHIELD VIOLATION,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2115,56-05-3690,"MOTORCYCLE / SALE OR DISTRIBUTION OF UNAPPROVED HELMETS, GOGGLES, OR FACE SHIELDS",M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2120,56-05-3860(A)(1),TRAFFIC / ANIMALS AND CERTAIN VEHICLES ON CONTROLLED ACCESS HIGHWAYS,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2121,56-05-3885(A),OBSCENE / OBSCENE BUMPER STICKER,M,U,Active,FINE NMT $200,0,0,NONE,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2122,56-05-4035,TRAFFIC / TRANSPORTING CULVERT PIPE UNLAWFULLY,M,U,Active,NMT 30 DAYS OR NMT $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2123,56-05-4130,TRAFFIC / WHEEL AND AXLE LOAD VIOLATION,M,U,Active,NMT 30 DAYS &/OR NMT $0.05 PER LB,30,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2136,56-05-4440,TRAFFIC / OPERATING VEHICLE WITH TELEVISION SCREEN FORWARD OF THE BACK OF THE DRIVER'S SEAT,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2137,56-05-4445,TRAFFIC / OPERATING ELEVATED OR LOWERED VEHICLE,M,U,Active,FINE $25 - $50,0,0,NONE,50,25,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2138,56-05-4450,TRAFFIC / FAILING TO USE HEADLIGHT WHEN REQUIRED,M,U,Active,FINE NMT $25,0,0,NONE,25,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2139,56-05-4460,MOTORCYCLE / FAILING TO USE MOTORCYCLE HEADLIGHT WHEN REQUIRED,M,U,Active,NMT 10 DAYS OR NMT $25,10,0,OR,25,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2140,56-05-4470,TRAFFIC / OPERATING VEHICLE NOT INTENDED TO BE USED AT NIGHT DURING NIGHTTIME WITHOUT LIGHTS,M,U,Active,NMT 60 DAYS &/OR NMT $200,60,0,AND/OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2141,56-05-5015(E)(G),"TRAFFIC / WINDOW TINTING OR SUNSCREENING, INSTALLATION, SALE, OR CERTIFICATE VIOLATION, PROFESSIONAL",M,U,Active,"NMT 30 DAYS OR NLT $1,000",30,0,OR,3000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2142,56-05-5015(E)(G),"TRAFFIC / WINDOW TINTING OR SUNSCREENING, INSTALLATION, SALE, OR CERTIFICATE VIOLATION, CONSUMER",M,U,Active,NMT 30 DAYS &/OR NMT $200,30,0,AND/OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2143,56-05-5015(K),"TRAFFIC / WINDOW TINTING OR SUNSCREENING, OPERATING VEHICLE IN VIOLATION OF REGULATIONS",M,U,Active,NMT 30 DAYS OR NMT $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2149,56-05-5910,"TRAFFIC / TAMPERING, REMOVING, OR DESTROYING COLORED TAG ON VEHICLE ON PUBLIC OR PRIVATE PROPERTY",M,U,Active,FINE NMT $500,0,0,NONE,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2150,56-05-5950,TRAFFIC / ABANDONING VEHICLE ON PUBLIC OR PRIVATE PROPERTY,M,U,Active,FINE NMT $500,0,0,NONE,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2153,56-05-0010,"TRAFFIC / UNIFORM TRAFFIC LAW CHAPTER, WHERE OTHER PENALTY NOT SPECIFIED",M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2156,56-07-0012(D),"TRAFFIC / FURNISHING, AIDING IN FURN. FALSE INFORMATION ON VERIFICATION OF LIABILITY INSURANCE - 1ST OFFENSE",M,U,Active,30 DAYS OR $100 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2157,56-07-0012(D),"TRAFFIC / FURNISHING, AIDING IN FURN. FALSE INFORMATION ON VERIFICATION OF LIABILITY INSURANCE - 2ND OFFENSE",M,U,Active,30 DAYS &/OR $200,30,0,AND/OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2158,56-07-0012(D),"TRAFFIC / FURNISHING, AIDING IN FURN. FALSE INFO. ON VERIFICATION OF LIABILITY INSURANCE - 3RD OR SUB. OFFENSE",M,U,Active,45 DAYS - 60 DAYS,60,45,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2159,56-07-0040,TRAFFIC / INADVERTENT FAILURE TO ACCOUNT FOR TICKET OR USE OF NONUNIFORM TRAFFIC TICKET,M,U,Active,FINE $100,0,0,NONE,100,100,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2160,56-07-0040,TRAFFIC / FAILURE TO ACCOUNT FOR TICKET OR USE OF NONUNIFORM TRAFFIC TICKET,M,U,Active,"NMT 6 MONTHS &/OR $250 - $1,500",180,0,AND/OR,1500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2161,56-07-0080(F),"TRAFFIC / FAILURE TO APPEAR, COUNTY OR MUNICIPAL ORDINANCE SUMMONS",M,U,Active,NMT 30 DAYS OR NMT $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2162,56-09-0560,TRAFFIC / MOTOR VEHICLE FINANCIAL RESPONSIBILITY ACT VIOLATION WHERE PENALTY NOT PROVIDED,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2163,56-10-0540,"TRAFFIC / FAILURE TO SURRENDER DRIVER'S LICENSE, REGISTRATION - 2ND OFFENSE",M,U,Active,30 DAYS &/OR $200,30,0,AND/OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2164,56-10-0540,"TRAFFIC / FAILURE TO SURRENDER DRIVER'S LICENSE, REGISTRATION - 1ST OFFENSE",M,U,Active,NMT 30 DAYS OR $100 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2165,56-10-0540,"TRAFFIC / FAILURE TO SURRENDER DRIVER'S LICENSE, REGISTRATION - 3RD OR SUB. OFFENSE",M,U,Active,45 DAYS TO 6 MONTHS,180,45,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2166,56-10-0240(D)(1),TRAFFIC / FAILURE TO RETURN LICENSE PLATE AND REGISTRATION UPON LOSS OF INSURANCE - 1ST OFFENSE,M,U,Active,30 DAYS OR $100 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2167,56-10-0240(D)(2),TRAFFIC / FAILURE TO RETURN LICENSE PLATE AND REGISTRATION UPON LOSS OF INSURANCE - 2ND OFFENSE,M,U,Active,30 DAYS &/OR $200,30,0,AND/OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2168,56-10-0240(D)(3),TRAFFIC / FAILURE TO RETURN LICENSE PLATE AND REGISTRATION UPON LOSS OF INSURANCE - 3RD OR SUB. OFFENSE,M,U,Active,45 DAYS TO 6 MONTHS,180,45,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2169,56-10-0250,TRAFFIC / SALE OF VEHICLE WITH SUSPENDED REGISTRATION TO FAMILY MEMBER - 1ST OFFENSE,M,U,Active,30 DAYS OR $100 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2170,56-10-0250,TRAFFIC / SALE OF VEHICLE WITH SUSPENDED REGISTRATION TO FAMILY MEMBER - 2ND OFFENSE,M,U,Active,30 DAYS &/OR $200,30,0,AND/OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2171,56-10-0250,TRAFFIC / SALE OF VEHICLE WITH SUSPENDED REGISTRATION TO FAMILY MEMBER - 3RD OFFENSE,M,U,Active,45 DAYS TO 6 MONTHS,180,45,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2172,56-10-0260,TRAFFIC / FALSE CERTIFICATE OR EVIDENCE OF INSURANCE - 3RD OR SUB. OFFENSE,M,U,Active,45 DAYS TO 6 MONTHS,180,45,NONE,0,0,TRUE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2173,56-10-0260,TRAFFIC / FALSE CERTIFICATE OR EVIDENCE OF INSURANCE - 2ND OFFENSE,M,U,Active,30 DAYS &/OR $200,30,0,AND/OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2174,56-10-0260,TRAFFIC / FALSE CERTIFICATE OR EVIDENCE OF INSURANCE - 1ST OFFENSE,M,U,Active,30 DAYS OR $100 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2179,56-15-0310(B)(1),TRAFFIC / FAILURE TO SECURE TEMPORARY OR PERMANENT AUTO DEALER OR WHOLESALER LICENSE - 1ST OFFENSE,M,U,Active,30 DAYS OR $50 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2180,56-15-0310(B)(2),TRAFFIC / FAILURE TO SECURE TEMPORARY OR PERMANANT AUTO DEALER OR WHOLESALER LICENSE - 2ND OFFENSE,M,U,Active,"NMT 6 MONTHS &/OR $200 - $1,000",180,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2182,56-15-0310(B)(3),TRAFFIC / FAILURE TO SECURE TEMPORARY OR PERMANENT AUTO DEALER OR WHOLESALER LICENSE - 3RD OR SUB. OFFENSE,M,B,Active,"NMT 2 YEARS &/OR $1,000 - $10,000",730,0,AND/OR,10000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2183,56-15-0340(C),TRAFFIC / FAILURE TO KEEP REQUIRED RECORDS BY AUTOMOBILE DEALER OR WHOLESALER,M,U,Active,NMT 30 DAYS OR $50 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2184,56-16-0140(B)(1),TRAFFIC / UNLICENSED MOTORCYCLE DEALER OR WHOLESALER - 1ST OFFENSE,M,U,Active,NMT 30 DAYS OR $50 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2185,56-16-0140(B)(2),TRAFFIC / UNLICENSED MOTORCYCLE DEALER OR WHOLESALER - 2ND OFFENSE,M,U,Active,"NMT 6 MONTHS &/OR $200 - $1,000",180,0,AND/OR,1000,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2186,56-16-0170(C),TRAFFIC / FAILURE TO KEEP REQUIRED RECORDS BY MOTORCYCLE DEALER OR WHOLESALER,M,U,Active,NMT 30 DAYS OR $50 - $200,30,0,OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2187,56-19-0480,TRAFFIC / UNLAWFUL TRANSFER ETC. OF ITEMS ON VEHICLES SOLD AS SCRAP - 1ST OFFENSE,M,U,Active,NMT 30 DAYS &/OR $200 - $500,30,0,AND/OR,500,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2188,56-19-0680(3),TRAFFIC / FAILURE OF LIENHOLDER TO FORWARD TITLE TO HIGHWAY DEPT. UPON SATISFACTION OF SECURITY INTEREST,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2189,56-21-0010,TRAFFIC / TRAFFIC AND PARKING OFFENSE AT STATE INSTITUTION,M,U,Active,NMT 30 DAYS OR NMT $100,30,0,OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2190,56-21-0100,TRAFFIC / TRAFFIC AND PARKING OFFENSE AT STATE HOSPITAL AND MIDLANDS CENTER,M,U,Active,NMT 15 DAYS OR $2 - $50,15,0,OR,50,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2191,56-23-0080,TRAFFIC / DRIVERS TRAINING SCHOOL CHAPTER OR LICENSE VIOLATION,M,U,Active,NMT 30 DAYS &/OR NMT $100,30,0,AND/OR,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2192,56-25-0040(b),TRAFFIC / FAILURE TO APPEAR AS REQUIRED BY UNIFORM TRAFFIC CITATION,M,U,Active,NMT 30 DAYS &/OR NMT $200,30,0,AND/OR,200,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2193,56-27-0010,TRAFFIC / PROFESSIONAL HOUSEMOVING CHAPTER VIOLATION - 1ST OFFENSE,M,U,Active,FINE NMT $100,0,0,NONE,100,0,FALSE,FALSE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2194,56-27-0010,TRAFFIC / PROFESSIONAL HOUSEMOVING CHAPTER VIOLATION - 2ND OFFENSE,M,U,Active,FINE NLT $500,0,0,NONE,1500,500,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
